pedestrianId simTime groupId-PID5
1 0.4 1
2 0.4 1
2 0.9 1
1 1.1 1
2 1.4 1
1 1.7 1
2 1.8 1
2 2.3 1
1 2.4 1
2 2.8 1
1 3.0 1
2 3.3 1
1 3.7 1
2 3.7 1
2 4.2 1
1 4.3 1
2 4.7 1
1 5.0 1
2 5.2 1
1 5.7 1
2 5.7 1
2 6.1 1
1 6.3 1
2 6.6 1
1 7.0 1
2 7.1 1
1 7.6 1
2 7.6 1
2 8.0 1
1 8.3 1
2 8.5 1
1 8.9 1
2 9.0 1
2 9.5 1
1 9.6 1
2 10.0 1
1 10.3 1
2 10.4 1
1 10.9 1
2 10.9 1
2 11.4 1
1 11.6 1
2 11.9 1
1 12.2 1
2 12.3 1
2 12.8 1
1 12.9 1
2 13.3 1
1 13.5 1
2 13.8 1
1 14.2 1
2 14.3 1
2 14.7 1
1 14.8 1
2 15.2 1
1 15.5 1
2 15.7 1
1 16.2 1
2 16.2 1
2 16.6 1
1 16.8 1
2 17.1 1
1 17.5 1
2 17.6 1
1 18.1 1
2 18.1 1
2 18.5 1
1 18.8 1
2 19.0 1
1 19.4 1
2 19.5 1
2 20.0 1
1 20.1 1
2 20.5 1
1 20.8 1
2 20.9 1
1 21.4 1
2 21.4 1
2 21.9 1
1 22.1 1
2 22.4 1
1 22.7 1
2 22.8 1
2 23.3 1
1 23.4 1
2 23.8 1
1 24.0 1
2 24.3 1
1 24.7 1
2 24.8 1
2 25.2 1
1 25.4 1
2 25.7 1
1 26.0 1
2 26.2 1
1 26.7 1
2 26.7 1
2 27.1 1
1 27.3 1
2 27.6 1
1 28.0 1
2 28.1 1
1 28.6 1
2 28.6 1
2 29.1 1
1 29.3 1
2 29.5 1
1 30.0 1
2 30.0 1
2 30.5 1
1 30.6 1
2 31.0 1
1 31.3 1
2 31.4 1
1 31.9 1
2 31.9 1
2 32.4 1
1 32.6 1
2 32.9 1
1 33.2 1
2 33.4 1
2 33.8 1
1 33.9 1
2 34.3 1
1 34.6 1
2 34.8 1
1 35.2 1
2 35.3 1
2 35.7 1
1 35.9 1
2 36.2 1
1 36.5 1
2 36.7 1
1 37.2 1
2 37.2 1
2 37.7 1
1 37.8 1
2 38.1 1
1 38.5 1
2 38.6 1
1 39.1 1
2 39.1 1
2 39.6 1
1 39.8 1
2 40.0 1
1 40.5 1
2 40.5 1
2 41.0 1
1 41.1 1
2 41.5 1
1 41.8 1
2 42.0 1
1 42.4 1
2 42.4 1
2 42.9 1
1 43.1 1
2 43.4 1
1 43.7 1
2 43.9 1
2 44.3 1
1 44.4 1
2 44.8 1
1 45.1 1
2 45.3 1
1 45.7 1
2 45.8 1
2 46.3 1
1 46.4 1
2 46.7 1
1 47.0 1
2 47.2 1
1 47.7 1
2 47.7 1
2 48.2 1
1 48.3 1
2 48.6 1
1 49.0 1
2 49.1 1
2 49.6 1
1 49.7 1
2 50.1 1
1 50.3 1
2 50.6 1
1 51.0 1
2 51.0 1
2 51.5 1
1 51.6 1
2 52.0 1
1 52.3 1
2 52.5 1
1 52.9 1
2 52.9 1
2 53.4 1
1 53.6 1
2 53.9 1
1 54.3 1
2 54.4 1
2 54.8 1
1 54.9 1
2 55.3 1
1 55.6 1
2 55.8 1
1 56.2 1
2 56.3 1
2 56.8 1
1 56.9 1
2 57.2 1
1 57.5 1
2 57.7 1
1 58.2 1
2 58.2 1
2 58.7 1
1 58.9 1
2 59.1 1
1 59.5 1
2 59.6 1
2 60.1 1
1 60.2 1
2 60.6 1
1 60.8 1
2 61.1 1
1 61.5 1
2 61.5 1
2 62.0 1
1 62.1 1
2 62.5 1
1 62.8 1
2 63.0 1
1 63.4 1
2 63.4 1
2 63.9 1
1 64.1 1
2 64.4 1
1 64.8 1
2 64.9 1
1 65.4 1
2 65.4 1
2 65.8 1
1 66.1 1
2 66.3 1
1 66.7 1
2 66.8 1
2 67.3 1
1 67.4 1
2 67.7 1
1 68.0 1
2 68.2 1
1 68.7 1
2 68.7 1
2 69.2 1
1 69.4 1
2 69.7 1
1 70.0 1
2 70.1 1
2 70.6 1
1 70.7 1
2 71.1 1
1 71.3 1
2 71.6 1
1 72.0 1
2 72.0 1
2 72.5 1
1 72.6 1
2 73.0 1
1 73.3 1
2 73.5 1
1 74.0 1
2 74.0 1
2 74.4 1
1 74.6 1
2 74.9 1
1 75.3 1
2 75.4 1
1 75.9 1
2 75.9 1
2 76.3 1
1 76.6 1
2 76.8 1
1 77.2 1
2 77.3 1
2 77.8 1
1 77.9 1
2 78.3 1
1 78.6 1
2 78.7 1
1 79.2 1
2 79.2 1
2 79.7 1
1 79.9 1
2 80.2 1
1 80.5 1
2 80.6 1
2 81.1 1
1 81.2 1
2 81.6 1
1 81.8 1
2 82.1 1
1 82.5 1
2 82.6 1
2 83.0 1
1 83.2 1
2 83.5 1
1 83.8 1
2 84.0 1
1 84.5 1
2 84.5 1
2 84.9 1
1 85.1 1
2 85.4 1
1 85.8 1
2 85.9 1
1 86.4 1
2 86.4 1
2 86.9 1
1 87.1 1
2 87.3 1
1 87.7 1
2 87.8 1
2 88.3 1
1 88.4 1
2 88.8 1
1 89.1 1
2 89.2 1
1 89.7 1
2 89.7 1
