timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
4 3 6 0.2712309231894209 0.12876907681057914
5 3 6 0.21213416529198345 0.18786583470801657
6 2 3 0.3773859504750196 0.022614049524980417
6 3 6 0.23858809152508703 0.161411908474913
7 2 3 0.34908456750513106 0.05091543249486896
7 3 6 0.25928418672339476 0.14071581327660526
8 2 3 0.37222860987867484 0.02777139012132518
8 3 6 0.26058289067642204 0.13941710932357798
9 3 6 0.26920267947878934 0.13079732052121068
10 3 6 0.29341684517175476 0.10658315482824526
12 2 6 0.30350152050044626 0.09649847949955376
13 2 6 0.3426691249189051 0.05733087508109491
17 3 5 0.22873813923786096 0.17126186076213906
18 3 5 0.2881221838403455 0.11187781615965453
